Date,Symbol,Order,Shares
2008-03-11,CI,BUY,100
2008-03-11,CVH,BUY,100
2008-03-11,S,BUY,100
2008-03-11,UNH,BUY,100
2008-03-11,HUM,BUY,100
2008-03-11,AET,BUY,100
2008-03-11,WLP,BUY,100
2008-03-18,HUM,SELL,100
2008-03-18,CI,SELL,100
2008-03-18,CVH,SELL,100
2008-03-18,WLP,SELL,100
2008-03-18,UNH,SELL,100
2008-03-18,AET,SELL,100
2008-03-18,S,SELL,100
2008-04-01,TDC,BUY,100
2008-04-08,TDC,SELL,100
2008-09-19,CTAS,BUY,100
2008-09-19,PCL,BUY,100
2008-09-19,PLD,BUY,100
2008-09-19,HST,BUY,100
2008-09-19,MHP,BUY,100
2008-09-26,PCL,SELL,100
2008-09-26,PLD,SELL,100
2008-09-26,CTAS,SELL,100
2008-09-26,HST,SELL,100
2008-09-26,MHP,SELL,100
2008-09-30,FDO,BUY,100
2008-09-30,HIG,BUY,100
2008-10-07,FDO,SELL,100
2008-10-07,HIG,SELL,100
2008-10-13,HBAN,BUY,100
2008-10-16,SUN,BUY,100
2008-10-16,GCI,BUY,100
2008-10-16,HIG,BUY,100
2008-10-16,PRU,BUY,100
2008-10-16,UNM,BUY,100
2008-10-16,LNC,BUY,100
2008-10-16,MWV,BUY,100
2008-10-16,PBI,BUY,100
2008-10-16,AMP,BUY,100
2008-10-20,HRL,BUY,100
2008-10-20,KIM,BUY,100
2008-10-20,WYNN,BUY,100
2008-10-20,SNDK,BUY,100
2008-10-20,HBAN,SELL,100
2008-10-20,WYN,BUY,100
2008-10-23,LNC,SELL,100
2008-10-23,SUN,SELL,100
2008-10-23,AMP,SELL,100
2008-10-23,GCI,SELL,100
2008-10-23,PRU,SELL,100
2008-10-23,HIG,SELL,100
2008-10-23,UNM,SELL,100
2008-10-23,MWV,SELL,100
2008-10-23,PBI,SELL,100
2008-10-27,WYN,SELL,100
2008-10-27,HRL,SELL,100
2008-10-27,SNDK,SELL,100
2008-10-27,WYNN,SELL,100
2008-10-27,KIM,SELL,100
2008-10-28,ETFC,BUY,100
2008-10-28,LM,BUY,100
2008-10-28,WHR,BUY,100
2008-10-30,LNC,BUY,100
2008-10-30,SHLD,BUY,100
2008-10-30,GNW,BUY,100
2008-10-30,FITB,BUY,100
2008-10-30,GS,BUY,100
2008-10-30,EXPE,BUY,100
2008-10-30,CMG,BUY,100
2008-10-30,IFF,BUY,100
2008-10-30,MSI,BUY,100
2008-10-30,AMP,BUY,100
2008-10-30,CTL,BUY,100
2008-10-30,URBN,BUY,100
2008-10-30,SYMC,BUY,100
2008-10-30,HIG,BUY,100
2008-10-30,AVP,BUY,100
2008-10-30,TGT,BUY,100
2008-10-30,WIN,BUY,100
2008-10-30,TE,BUY,100
2008-10-30,JDSU,BUY,100
2008-10-30,PRU,BUY,100
2008-10-30,CI,BUY,100
2008-10-30,AIZ,BUY,100
2008-11-04,CI,BUY,100
2008-11-04,LM,SELL,100
2008-11-04,PPL,BUY,100
2008-11-04,AET,BUY,100
2008-11-04,THC,BUY,100
2008-11-04,DF,BUY,100
2008-11-04,WHR,SELL,100
2008-11-04,ETFC,SELL,100
2008-11-06,JDSU,SELL,100
2008-11-06,HIG,SELL,100
2008-11-06,SYMC,SELL,100
2008-11-06,AVP,SELL,100
2008-11-06,AMP,SELL,100
2008-11-06,CI,SELL,100
2008-11-06,CTL,SELL,100
2008-11-06,PRU,SELL,100
2008-11-06,AIZ,SELL,100
2008-11-06,URBN,SELL,100
2008-11-06,MSI,SELL,100
2008-11-06,GS,SELL,100
2008-11-06,EXPE,SELL,100
2008-11-06,CMG,SELL,100
2008-11-06,TGT,SELL,100
2008-11-06,WIN,SELL,100
2008-11-06,GNW,SELL,100
2008-11-06,FITB,SELL,100
2008-11-06,SHLD,SELL,100
2008-11-06,LNC,SELL,100
2008-11-06,IFF,SELL,100
2008-11-06,TE,SELL,100
2008-11-07,YHOO,BUY,100
2008-11-07,LEN,BUY,100
2008-11-07,PHM,BUY,100
2008-11-07,ETFC,BUY,100
2008-11-07,WYN,BUY,100
2008-11-07,GNW,BUY,100
2008-11-07,ANF,BUY,100
2008-11-07,FTI,BUY,100
2008-11-07,S,BUY,100
2008-11-07,DHI,BUY,100
2008-11-11,PPL,SELL,100
2008-11-11,AET,SELL,100
2008-11-11,CI,SELL,100
2008-11-11,THC,SELL,100
2008-11-11,DF,SELL,100
2008-11-13,PRU,BUY,100
2008-11-13,DPS,BUY,100
2008-11-14,WYN,SELL,100
2008-11-14,ANF,SELL,100
2008-11-14,LEN,SELL,100
2008-11-14,YHOO,SELL,100
2008-11-14,GNW,SELL,100
2008-11-14,PHM,SELL,100
2008-11-14,ETFC,SELL,100
2008-11-14,FTI,SELL,100
2008-11-14,DHI,SELL,100
2008-11-14,S,SELL,100
2008-11-20,PRU,SELL,100
2008-11-20,DPS,SELL,100
2008-11-21,JWN,BUY,100
2008-11-21,ADSK,BUY,100
2008-11-21,GNW,BUY,100
2008-11-21,ALXN,BUY,100
2008-11-21,DF,BUY,100
2008-11-21,CELG,BUY,100
2008-11-21,STI,BUY,100
2008-11-21,DELL,BUY,100
2008-11-21,KEY,BUY,100
2008-11-21,HIG,BUY,100
2008-11-21,C,BUY,100
2008-11-24,CPB,BUY,100
2008-11-24,CBE,BUY,100
2008-11-26,HRL,BUY,100
2008-12-01,HIG,SELL,100
2008-12-01,C,SELL,100
2008-12-01,CELG,SELL,100
2008-12-01,DELL,SELL,100
2008-12-01,DF,SELL,100
2008-12-01,STI,SELL,100
2008-12-01,GNW,SELL,100
2008-12-01,ALXN,SELL,100
2008-12-01,JWN,SELL,100
2008-12-01,KEY,SELL,100
2008-12-01,ADSK,SELL,100
2008-12-02,CBE,SELL,100
2008-12-02,CPB,SELL,100
2008-12-02,DO,BUY,100
2008-12-02,EMN,BUY,100
2008-12-02,MET,BUY,100
2008-12-02,MU,BUY,100
2008-12-04,HRL,SELL,100
2008-12-05,AES,BUY,100
2008-12-08,ACE,BUY,100
2008-12-08,LNC,BUY,100
2008-12-08,LSI,BUY,100
2008-12-08,PFG,BUY,100
2008-12-08,UNM,BUY,100
2008-12-08,DV,BUY,100
2008-12-09,EMN,SELL,100
2008-12-09,MET,SELL,100
2008-12-09,MU,SELL,100
2008-12-09,DO,SELL,100
2008-12-12,AES,SELL,100
2008-12-15,UNM,SELL,100
2008-12-15,DV,SELL,100
2008-12-15,LSI,SELL,100
2008-12-15,LNC,SELL,100
2008-12-15,PFG,SELL,100
2008-12-15,ACE,SELL,100
2008-12-16,STX,BUY,100
2008-12-23,STX,SELL,100
2009-01-02,HCN,BUY,100
2009-01-02,HCP,BUY,100
2009-01-02,EQR,BUY,100
2009-01-09,HCP,SELL,100
2009-01-09,EQR,SELL,100
2009-01-09,HCN,SELL,100
2009-01-21,JCI,BUY,100
2009-01-21,FITB,BUY,100
2009-01-21,COH,BUY,100
2009-01-21,ATI,BUY,100
2009-01-28,DV,BUY,100
2009-01-28,COH,SELL,100
2009-01-28,FITB,SELL,100
2009-01-28,BDX,BUY,100
2009-01-28,ATI,SELL,100
2009-01-28,JCI,SELL,100
2009-01-28,LM,BUY,100
2009-01-28,NEM,BUY,100
2009-02-04,DV,SELL,100
2009-02-04,NEM,SELL,100
2009-02-04,BDX,SELL,100
2009-02-04,LM,SELL,100
2009-02-24,AIG,BUY,100
2009-02-24,NEM,BUY,100
2009-03-03,AIG,SELL,100
2009-03-03,NEM,SELL,100
2009-03-10,NEM,BUY,100
2009-03-10,JCI,BUY,100
2009-03-10,BF.B,BUY,100
2009-03-12,PLL,BUY,100
2009-03-12,MOS,BUY,100
2009-03-17,FSLR,BUY,100
2009-03-17,JCI,SELL,100
2009-03-17,NUE,BUY,100
2009-03-17,NEM,SELL,100
2009-03-17,BF.B,SELL,100
2009-03-17,AA,BUY,100
2009-03-19,PLL,SELL,100
2009-03-19,MOS,SELL,100
2009-03-23,HRB,BUY,100
2009-03-23,HRS,BUY,100
2009-03-24,FSLR,SELL,100
2009-03-24,NUE,SELL,100
2009-03-24,AA,SELL,100
2009-03-30,HRB,SELL,100
2009-03-30,HRS,SELL,100
